"One of us snores","Frequent bathroom","Sick","No longer physically intimate","prefer different room temperature","Argument or fight","Not enough space","Dont want to share the covers","Sleep with child","Different sleep time","att20","Hypothesis 1","Hypothesis 2","Hypothesis 3","Age","StartDate","EndDate","Which of the following best describes your current relationship status?","How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?","att7","When you're not sleeping in the same bed, where does your partner typically sleep?","att9","When was the first time you slept in separate beds?","Which of the following best describes your current occupation?","att26","Gender","Household Income","Education","Location (Census Region)"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Somewhat agree","Strongly agree","Neither agree nor disagree","> 60",9/7/14 6:00 PM,9/7/14 6:02 PM,"Married","More than 20 years","A few times per month","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"After 20 years of our relationship","Education, Training, and Library Occupations",,"Female",,"Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:00 PM,9/7/14 6:01 PM,"Married","6-10 years","Never",,,,,,"Healthcare Practitioners and Technical Occupations",,"Male","$50,000 - $99,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 6:00 PM,9/7/14 6:01 PM,"Married","6-10 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female","$25,000 - $49,999","Graduate degree","Pacific"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","-","Strongly disagree","Somewhat agree","Strongly disagree","> 60",9/7/14 6:00 PM,9/7/14 6:02 PM,"Married","More than 20 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"After 20 years of our relationship","Other (please specify)","Retired","Male","$50,000 - $99,999","Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:00 PM,9/7/14 6:01 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","JjANITORIAL","Male","$0 - $24,999","Some college or Associate degree","East North Central"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Somewhat disagree","Strongly agree","Strongly disagree","45-60",9/7/14 6:00 PM,9/7/14 6:01 PM,"Married","More than 20 years","Every night","Separate bedroom",,"Separate bedroom",,"Within 16-20 years of our relationship","Office and Administrative Support Occupations",,"Female","$100,000 - $149,999","Some college or Associate degree","New England"
"-","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Somewhat agree","Somewhat disagree","30-44",9/7/14 5:59 PM,9/7/14 6:02 PM,"Married","11-15 years","Every night","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 11-15 years of our relationship","Other (please specify)","Child care","Female","$50,000 - $99,999","Some college or Associate degree","East North Central"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","30-44",9/7/14 5:59 PM,9/7/14 6:02 PM,"Married","6-10 years","A few times per week","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Separate bedroom",,"Within 6-10 years of our relationship","Arts, Design, Entertainment, Sports, and Media Occupations",,"Female","$50,000 - $99,999","Bachelor degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 5:59 PM,9/7/14 6:00 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Homemaker","Female",,"Bachelor degree","East North Central"
"One of us snores","One of us makes frequent bathroom trips in the night","One of us is sick","-","-","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","> 60",9/7/14 5:59 PM,9/7/14 6:03 PM,"Married","More than 20 years","A few times per month","Separate bedroom",,"Separate bedroom",,"After 20 years of our relationship","Office and Administrative Support Occupations",,"Male","$100,000 - $149,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Strongly disagree","Strongly disagree","Strongly disagree","45-60",9/7/14 5:59 PM,9/7/14 6:01 PM,"Married","16-20 years","Once a year or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Protective Service Occupations",,"Female","$150,000+","Some college or Associate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 5:52 PM,9/7/14 6:00 PM,"Married","More than 20 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female","$100,000 - $149,999","Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Strongly disagree","Somewhat disagree","Strongly disagree","30-44",9/7/14 5:59 PM,9/7/14 6:01 PM,"Married","6-10 years","A few times per month","Separate bedroom",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Management Occupations",,"Male","$50,000 - $99,999","Bachelor degree","East South Central"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","45-60",9/7/14 5:58 PM,9/7/14 6:00 PM,"Married","11-15 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Sales and Related Occupations",,"Male","$100,000 - $149,999","Bachelor degree","West North Central"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Strongly disagree","Neither agree nor disagree","Strongly disagree","> 60",9/7/14 5:58 PM,9/7/14 6:00 PM,"Married","More than 20 years","Once a year or less","Separate bedroom",,"Separate bedroom",,"After 20 years of our relationship","Education, Training, and Library Occupations",,"Female","$150,000+","Graduate degree","East North Central"
"-","-","One of us is sick","-","-","We've had an argument or fight","-","-","One of us needs to sleep with a child","-","-","Somewhat disagree","Strongly disagree","Strongly disagree","30-44",9/7/14 5:53 PM,9/7/14 6:00 PM,"Married","11-15 years","Once a year or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Education, Training, and Library Occupations",,"Female","$50,000 - $99,999","Graduate degree","South Atlantic"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","30-44",9/7/14 5:58 PM,9/7/14 6:00 PM,"Married","16-20 years","Once a month or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 11-15 years of our relationship","Office and Administrative Support Occupations",,"Female","$100,000 - $149,999","Bachelor degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 5:58 PM,9/7/14 7:14 PM,"Married","16-20 years","Never",,,,,,"Computer and Mathematical Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"-","One of us makes frequent bathroom trips in the night","One of us is sick","-","-","-","-","-","-","-","-","Strongly agree","Strongly agree","Neither agree nor disagree","30-44",9/7/14 5:57 PM,9/7/14 6:01 PM,"Married","6-10 years","Every night","Separate bedroom",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Computer and Mathematical Occupations",,"Female","$100,000 - $149,999","Some college or Associate degree","South Atlantic"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Somewhat agree","Strongly agree","Neither agree nor disagree","> 60",9/7/14 5:57 PM,9/7/14 6:00 PM,"Married","More than 20 years","Every night","Separate bedroom",,"Separate bedroom",,"After 20 years of our relationship","Other (please specify)","Product Design Consultant","Male","$50,000 - $99,999","Bachelor degree","New England"
"One of us snores","-","One of us is sick","-","-","-","-","-","-","-","-","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","-",9/7/14 5:58 PM,9/7/14 5:58 PM,"Married","16-20 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","consulting",,,,
"One of us snores","-","-","-","-","-","-","-","-","-","-","Strongly agree","Somewhat agree","Neither agree nor disagree","30-44",9/7/14 5:57 PM,9/7/14 6:00 PM,"Married","11-15 years","A few times per month","Separate bedroom",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Other (please specify)","Homemaker","Female","$50,000 - $99,999","Bachelor degree","West South Central"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","> 60",9/7/14 5:57 PM,9/7/14 6:01 PM,"Single, but cohabiting with a significant other","More than 20 years","Once a year or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","retired","Female","$50,000 - $99,999","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 5:57 PM,9/7/14 5:58 PM,"Married","6-10 years","Never",,,,,,"Healthcare Support Occupations",,"Female","$150,000+","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 5:57 PM,9/7/14 5:58 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","retired","Male",,"Some college or Associate degree","South Atlantic"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","> 60",9/7/14 5:57 PM,9/7/14 5:59 PM,"Married","More than 20 years","Every night","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 16-20 years of our relationship","Computer and Mathematical Occupations",,"Male","$100,000 - $149,999","Some college or Associate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 5:56 PM,9/7/14 5:57 PM,"Married","More than 20 years","Never",,,,,,"Sales and Related Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 5:56 PM,9/7/14 5:58 PM,"In a domestic partnership or civil union","6-10 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$150,000+","Graduate degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 5:56 PM,9/7/14 5:57 PM,"Single, but cohabiting with a significant other","11-15 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 5:56 PM,9/7/14 5:57 PM,"Married","11-15 years","Never",,,,,,"Architecture and Engineering Occupations",,"Male","$25,000 - $49,999","Bachelor degree","New England"
"-","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","Other (please specify)","Neither agree nor disagree","Somewhat agree","Somewhat agree","45-60",9/7/14 5:56 PM,9/7/14 5:58 PM,"Married","More than 20 years","A few times per week","Other (please specify)","porch in the wind","My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 11-15 years of our relationship","Healthcare Support Occupations",,"Male",,"Graduate degree","East North Central"
"One of us snores","-","One of us is sick","-","-","-","-","-","-","-","-","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","45-60",9/7/14 5:55 PM,9/7/14 5:57 PM,"Married","16-20 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","consulting","Female","$50,000 - $99,999","Graduate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 5:56 PM,9/7/14 5:56 PM,"Married","11-15 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$100,000 - $149,999","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 5:55 PM,9/7/14 5:56 PM,"Married",,,,,,,,,,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 5:56 PM,9/7/14 5:56 PM,"Married","16-20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Male","$100,000 - $149,999","Graduate degree","South Atlantic"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","-","-","Not enough space","-","-","-","-","Neither agree nor disagree","Strongly agree","Somewhat disagree","> 60",9/7/14 5:55 PM,9/7/14 5:57 PM,"Married","More than 20 years","Every night","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"After 20 years of our relationship","Office and Administrative Support Occupations",,"Female","$100,000 - $149,999","Some college or Associate degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 5:55 PM,9/7/14 5:56 PM,"Married","6-10 years","Never",,,,,,"Management Occupations",,"Female",,"Some college or Associate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 5:55 PM,9/7/14 5:55 PM,"Married","11-15 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$100,000 - $149,999","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 5:55 PM,9/7/14 5:55 PM,"Married","1-5 years","Never",,,,,,"Computer and Mathematical Occupations",,"Male",,"Bachelor degree","Pacific"
"One of us snores","-","-","We are no longer physically intimate","-","-","-","-","-","-","-","Neither agree nor disagree","Strongly agree","Strongly disagree","45-60",9/7/14 5:54 PM,9/7/14 5:57 PM,"Married","16-20 years","A few times per week","Separate bedroom",,"On the couch/chair",,"Within 6-10 years of our relationship","Other (please specify)","Stay at home mom","Female","$150,000+","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 5:55 PM,9/7/14 5:55 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","retired","Male","$25,000 - $49,999","High school degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 5:54 PM,9/7/14 5:55 PM,"Married","1-5 years","Never",,,,,,"Healthcare Practitioners and Technical Occupations",,"Male","$100,000 - $149,999","Graduate degree","West North Central"
"-","-","One of us is sick","-","-","-","-","-","One of us needs to sleep with a child","-","-","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","30-44",9/7/14 5:54 PM,9/7/14 5:59 PM,"Married","6-10 years","A few times per week","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","stay at home mom","Female","$0 - $24,999","Some college or Associate degree","Mountain"
